SKU,Description,Warehouse,AccKIT,Nameplate Prep,BattSubRaw,PMAcc,GenAcc,Compressor,Last Modified
PDS100 AXXX,PDS100S6E1 ESTIMATION ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,92.0,
PDS100-A001,PDS100S6E1 BHW EBH TEL ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,118.0,
PDS100-A002,PDS100S6E1 BC EBH ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,65.0,
PDS185EZ-A001,PDS185S6EZ1 BHW EBH ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,65.0,
PDS185EZ-A002,PDS185S6EZ1 BHW EBH TEL ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,118.0,
PDS185EZ-A003,PDS185S6EZ1 BHW EBH CCV ACCESSORY KIT,20.0,20.0,0.0,0.0,0.0,0.0,155.0,
PDS185EZ-A004,PDS185S6EZ1 BHW EBH CCV TEL ACCESSORY KIT,20.0,20.0,0.0,0.0,0.0,0.0,208.0,
PDS185EZ-A005,PDS185S6EZ1 BHW CCV LRH ACCESSORY KIT,25.0,25.0,0.0,0.0,0.0,0.0,171.0,
PDS185EZ-A006,PDS185S6EZ1 BHW CCV LRH TEL ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,224.0,
PDS185EZ-A007,PDS185S6EZ1 CCV LRH ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,151.0,
PDS185EZ-A008,PDS185S6EZ1 EBH OES ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,90.0,
PDS185EZ-A009,PDS185S6EZ1 EBH OES TEL ACCESSORY KIT,20.0,20.0,0.0,0.0,0.0,0.0,143.0,
PDS185EZ-A010,PDS185S6EZ1 EBH OES TEL UR DECAL ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,158.0,
PDS185EZ-A011,PDS185S6EZ1 OES TEL ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,98.0,
PDS185EZ-A012,PDS185S6EZ1 OES TEL UR DECAL ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,113.0,
PDS185EZ-A013,PDS185S6EZ1 EBH ES DECAL ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,60.0,
PDS185EZ-A014,PDS185S6EZ1 EBH TEL UR DECAL ACCESSORY KIT,20.0,20.0,0.0,0.0,0.0,0.0,113.0,
PDS185EZ-A015,PDS185S6EZ1 AWP OES TEL UR DECAL ACCESSORY KIT,5.0,5.0,0.0,0.0,0.0,0.0,388.0,
PDS185EZ-A016,PDS185S6EZ1 AWP ACCESSORY KIT,20.0,20.0,0.0,0.0,0.0,0.0,275.0,
PDS185EZ-A017,PDS185S6EZ1 NE CWP OES TEL UR ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,463.0,
PDS185EZ-A018,PDS185S6EZ1 EBH TELT3 ES DECAL ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,113.0,
