SKU,Description,Warehouse,Wire,Trailer,FN_Assy,Final Station,PDI,QC,Ship,ETO,Bat,Last Modified
BOSS125-001,"ENERGY BOSS 125 TRIPLE AXLE ELEC TRAILER 2"" BALL HITCH ASSEMBLY",10.0,60.0,210.0,45.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS125-003,"ENERGY BOSS 125 TRIPLE AXLE ELEC TRAILER 3"" RING HITCH ASSEMBLY",10.0,60.0,210.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS125-004,"ENERGY BOSS 125 TRIPLE AXLE ELEC TRAILER 3"" BALL HITCH ASSEMBLY PROTOTYPE",10.0,60.0,210.0,180.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS125-50,ENERGY BOSS 125KVA 100KW OUTPUT 50KWH ASSEMBLY,10.0,60.0,210.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS125HS-001,ENERGY BOSS 125 HEAD SKID ASSEMBLY,10.0,60.0,0.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS125HT-001,"ENERGY BOSS 125 HEAD DUAL AXLE TRAILER 2"" BALL HITCH ASSEMBLY",10.0,60.0,180.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS220-001,"ENERGY BOSS 220 TRIPLE AXLE ELEC TRAILER 2"" BALL HITCH ASSEMBLY",10.0,60.0,210.0,0.0,Final,60.0,60.0,30.0,960,2.0,2026-05-26
BOSS220-003,"ENERGY BOSS 220 TRIPLE AXLE ELEC TRAILER 3"" RING HITCH ASSEMBLY",10.0,60.0,210.0,0.0,Final,60.0,60.0,30.0,960,2.0,2026-05-26
BOSS220HS-001,ENERGY BOSS 220 HEAD SKID ASSEMBLY,10.0,60.0,0.0,0.0,Final,60.0,60.0,30.0,960,2.0,2026-05-26
BOSS25PM XXX,EBOSS 25 PM ESTIMATION ASSEMBLY,10.0,60.0,0.0,30.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS220PM XXX,EBOSS 220 PM ESTIMATION ASSEMBLY,10.0,60.0,0.0,30.0,Final,60.0,60.0,30.0,960,2.0,2026-05-26
BOSS220HS-002,EBOSS 220 PM SKID VENTED COVER ASSEMBLY,10.0,60.0,0.0,45.0,Final,60.0,60.0,30.0,960,3.0,2026-05-26
BOSS25-001,"ENERGY BOSS 25 DUAL AXLE SURGE TRAILER 2"" BALL HITCH ASSEMBLY",10.0,60.0,90.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25-002,"ENERGY BOSS 25 DUAL AXLE ELEC TRAILER 2"" BALL HITCH ASSEMBLY",10.0,60.0,120.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25-003,"ENERGY BOSS 25 DUAL AXLE SURGE TRAILER 2-5/16"" BALL HITCH ASSEMBLY",10.0,60.0,90.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25-004,"ENERGY BOSS 25 DUAL AXLE ELEC TRAILER 2-5/16"" BALL HITCH ASSEMBLY",10.0,60.0,120.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25-005,"ENERGY BOSS 25 DUAL AXLE SURGE TRAILER 3"" RING HITCH ASSEMBLY",10.0,60.0,90.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25-006,"ENERGY BOSS 25 DUAL AXLE ELEC TRAILER 3"" RING HITCH ASSEMBLY",10.0,60.0,180.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25-010,"EBOSS 25-25 HYBRID DUAL AXLE SURGE TRAILER MOD 3"" RING HITCH ASSEMBLY",10.0,60.0,120.0,180.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25-25 XXX,EBOSS 25-25 HYBRID ESTIMATION ASSEMBLY,10.0,60.0,120.0,300.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25-011,"EBOSS 25-25 HYBRID DUAL AXLE ELEC TRAILER MOD 3"" RING HITCH ASSEMBLY",10.0,60.0,120.0,300.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25-15-HT001,ENERGY BOSS 15KWH 25KW OUTPUT HEAD UNIT TRAILER ASSEMBLY,10.0,60.0,0.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25-15-S009,"ENERGY BOSS 15KWH 25KW OUTPUT HYD 3""RH BH CCV CSA EH LR VC",10.0,60.0,0.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25-15-S016,ENERGY BOSS 15KWH 25KW OUTPUT L SKID ASSEMBLY,10.0,60.0,0.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25HS-001,ENERGY BOSS 25 HEAD SKID ASSEMBLY,10.0,60.0,0.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25HT-001,"ENERGY BOSS 25 HEAD SINGLE AXLE TRAILER 2"" BALL HITCH ASSEMBLY",10.0,60.0,60.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25HT-002,"ENERGY BOSS 25 HEAD SINGLE AXLE TRAILER 2-5/16"" BALL HITCH ASSEMBLY",10.0,60.0,60.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
